model,task,language,token_ratio,char_ratio,word_ratio,tokens_per_char,tokens_per_word,chars_per_word
gpt-oss-20b,commonsense,de,2.2681030339016597,24.632327263656773,19.26183745583039,0.4061528490850725,2.9431123993322443,7.246317257067381
gpt-oss-20b,commonsense,es,2.6150083411089438,32.70510102269892,29.355477031802117,0.35268724533280965,2.226515479801628,6.3130025518802055
gpt-oss-20b,commonsense,fi,2.4494302598467503,21.350648540783236,15.223321554770317,0.5060415504455589,4.021586741562602,7.947147300496727
gpt-oss-20b,commonsense,fr,2.364874035117482,27.70285607383387,24.06219081272085,0.37654391853107416,2.4564878994360897,6.523775258458646
gpt-oss-20b,commonsense,hi,2.5745893064155854,22.898353704165626,24.169611307420496,0.49594769034689734,2.6624415204678358,5.368391812865497
gpt-oss-20b,commonsense,ko,2.5263522492719206,12.087802444499875,14.908480565371026,0.9218891869583162,4.235476760446541,4.594344765471309
gpt-oss-20b,commonsense,sw,2.7627307942432213,25.705786979296583,22.54487632508834,0.474067119824947,3.0628977148051786,6.460894642801167
gpt-oss-20b,commonsense,tr,2.0028557695026437,16.697181341980542,12.240282685512367,0.5291011219169692,4.089780600461894,7.729676674364895
gpt-oss-20b,commonsense,zh,2.128283428054401,7.175043651783486,2.039575971731449,1.3083896088093936,26.08142758142758,19.93399168399168
gpt-oss-20b,math,ar,1.7042264305038026,4.000678568543501,3.793266832917706,0.8089951619807609,4.3899151929524685,5.42638003199439
gpt-oss-20b,math,de,1.6849914076191448,4.438888440100169,3.7638403990024942,0.7209011992938906,4.374301552596126,6.06782393604099
gpt-oss-20b,math,es,1.8447161111394688,5.713094757250182,4.920365752285952,0.6132116557130414,3.6633159886471143,5.973982970671713
gpt-oss-20b,math,fi,1.717684991407619,3.902883916309879,3.0648379052369075,0.8358150259346192,5.476186601573096,6.551912123677787
gpt-oss-20b,math,fr,1.686897044561278,4.6430244769367475,4.206899418121363,0.6899853852042592,3.918038293584145,5.678436641704044
gpt-oss-20b,math,hi,1.7390553485443996,4.2289037886743674,4.37780548628429,0.7809763589406605,3.8814962498813257,4.9700560144308366
gpt-oss-20b,math,ko,1.7544195463903491,2.9160836901203653,3.2306733167082298,1.142577746258816,5.306188086967708,4.644049916377203
gpt-oss-20b,math,sw,1.8653548398073942,4.929186525567493,4.36783042394015,0.718684855715653,4.172899419545152,5.806299362451232
gpt-oss-20b,math,tr,1.6277627482007042,3.630697148396478,3.131005818786367,0.8514386664412028,5.0798332713853345,5.966176392502523
gpt-oss-20b,math,zh,1.5526432205264322,2.166653203005089,1.955029093931837,1.360926139964953,7.759981291721587,5.701985628640673
llama3.1-8b,code,ar,2.1110804937467513,1.7171141076302605,1.5575293282678577,0.30759284606259696,2.258868860148764,7.343697647926021
llama3.1-8b,code,de,1.4996148474733368,1.3153479510264454,1.2785037364839478,0.2852395042669068,1.9547903605015675,6.853154388714734
llama3.1-8b,code,es,1.5195551018618838,1.4299914449830937,1.462155053646725,0.26586037175177396,1.7319904063044285,6.51466179367844
llama3.1-8b,code,fi,2.0102018449745427,1.3518791266988603,1.1530914707969775,0.3720252341507118,2.9053493845039826,7.80954923968139
llama3.1-8b,code,fr,1.421657471019621,1.2847379125132008,1.3080094351438232,0.2768541419699786,1.811367426569744,6.5426777207695315
llama3.1-8b,code,hi,2.1435585588406596,1.2015740604366505,1.4205944975577174,0.44632930440712976,2.5147086914995223,5.634200279185952
llama3.1-8b,code,ko,2.231492325131359,1.263052668193826,1.5346303177055067,0.4420226570137004,2.423338502135531,5.482385266193313
llama3.1-8b,code,sw,2.9069684425433846,2.0307855260395287,1.9963783242182607,0.3581350706585643,2.4267214563172783,6.775995022924869
llama3.1-8b,code,tr,2.1552321248520454,1.8135774072344732,1.6036404625725378,0.29732302920606674,2.2398013641570342,7.533225294178902
llama3.1-8b,code,zh,1.2872298452500988,0.7507293700311177,0.5399010562351271,0.4289861666513612,3.9734191652651316,9.262348005954108
llama3.1-8b,commonsense,ar,2.2259427904261533,1.200868120696178,1.244463697469391,0.3707615197724438,2.187864831575001,5.901002976031091
llama3.1-8b,commonsense,de,1.4663475384316016,1.085563445517486,0.9717520041129538,0.2701827855980151,1.8457385834794795,6.831444051456397
llama3.1-8b,commonsense,es,1.3414983459817085,1.04542843219831,1.0713102423976997,0.25666804669047455,1.5316643560484873,5.967491379616793
llama3.1-8b,commonsense,fi,4.828760459233314,2.465576429962619,1.8909591179998857,0.3917357104474012,3.1235052740226066,7.9735014978727685
llama3.1-8b,commonsense,fr,1.3410313290523448,1.0142657638792665,1.00092351048232,0.2644619092206855,1.6388030171880794,6.196745013364279
llama3.1-8b,commonsense,hi,3.3488694298501653,1.3265946035151415,1.6154197688367575,0.5049355636377293,2.5357214422952246,5.021871353301036
llama3.1-8b,commonsense,ko,3.3759564117532594,1.1618322702383752,1.6541215225546013,0.5812050336816066,2.4964227951122084,4.295253224664584
