model,task,language,chars,words,tokens,tokens_per_char,tokens_per_word
llama3.3-70b,commonsense,tr,860.776,110.52,236.656,0.2759190907063713,2.1509330727522045
llama3.3-70b,commonsense,zh,286.86,26.99,218.024,0.7629291653953582,8.299099519071298
llama3.3-70b,math,ar,528.768,99.676,222.356,0.42430382406859396,2.2498852205713296
llama3.3-70b,math,de,850.89,138.738,268.994,0.31713535389879755,1.9466697844834688
llama3.3-70b,math,en,800.014,154.26,213.378,0.268629950097879,1.3884974640701582
llama3.3-70b,math,es,867.01,154.956,253.702,0.29366931574565003,1.6429699175695132
llama3.3-70b,math,fi,560.198,82.74,236.492,0.42394061824576323,2.860899778406172
llama3.3-70b,math,fr,858.73,156.358,262.064,0.3069530723429386,1.6839827876937736
llama3.3-70b,math,hi,752.112,255.314,404.898,0.5402146888867541,1.5959912214286294
llama3.3-70b,math,ko,356.444,81.51,219.914,0.6199242588147305,2.74007121858981
llama3.3-70b,math,sw,710.066,123.042,292.344,0.4133779888645604,2.382657618159094
llama3.3-70b,math,tr,657.008,104.602,213.692,0.32739498431407793,2.05225528956001
llama3.3-70b,math,zh,275.364,33.358,190.52,0.707811875322818,6.121998998822403
llama4-scout,commonsense,ar,881.066,149.112,305.838,0.348980012576618,2.0669089364500293
llama4-scout,commonsense,de,1509.382,212.628,332.938,0.2212545963470569,1.567114286271825
llama4-scout,commonsense,en,1583.288,255.114,318.908,0.20281445365608056,1.2555610007666202
llama4-scout,commonsense,es,1586.412,255.384,338.838,0.21426666393363644,1.329279767715201
llama4-scout,commonsense,fi,978.366,121.012,289.388,0.29935945166848354,2.448790893362065
llama4-scout,commonsense,fr,1539.82,250.384,347.828,0.22619664170774129,1.3889812437141997
llama4-scout,commonsense,hi,1294.278,397.266,394.564,0.3102480850546635,1.0119762740658833
llama4-scout,commonsense,ko,616.55,129.85,248.006,0.43922469898788513,1.991616334687608
llama4-scout,commonsense,sw,1065.48,165.52,345.548,0.32484467225168784,2.0942997324725017
llama4-scout,commonsense,tr,1015.68,131.042,262.132,0.25983319463376386,2.0218054630040645
llama4-scout,commonsense,zh,828.732,117.632,273.828,0.40204898089187024,3.3766823804080586
llama4-scout,math,ar,525.112,97.968,216.384,0.415938575781133,2.224451007182609
llama4-scout,math,de,733.452,120.904,202.782,0.27715631372558386,1.6769548672186572
llama4-scout,math,en,821.952,153.084,227.39,0.27850340092008746,1.49359468775324
llama4-scout,math,es,765.542,134.446,210.014,0.27610318520763977,1.567478575550228
llama4-scout,math,fi,526.306,77.542,188.308,0.35983298041493594,2.4349449666165293
llama4-scout,math,fr,731.286,130.906,207.058,0.2849207352587233,1.5858812995764933
llama4-scout,math,hi,625.97,205.362,244.598,0.3961139018191291,1.2123079431635357
llama4-scout,math,ko,317.492,71.79,175.278,0.5571203896569692,2.484943583920033
llama4-scout,math,sw,610.404,105.874,224.264,0.3685710095468259,2.1235436438332
llama4-scout,math,tr,504.05,81.94,165.846,0.33204524126627555,2.030391832011551
llama4-scout,math,zh,303.65,52.712,167.226,0.5674317290595066,3.4599612611953807
