model,task,language,tokens,rep_rate_3gram,unique_word_ratio
llama3.1-8b,commonsense,fi,1240.75,0.3070642677606241,0.4460869220948394
llama3.1-8b,commonsense,fr,344.578,0.18367426973282888,0.43945838365709683
llama3.1-8b,commonsense,hi,860.492,0.46622245483213326,0.17451620046625732
llama3.1-8b,commonsense,ko,867.452,0.29666992787212093,0.46336794476757637
llama3.1-8b,commonsense,sw,1056.07,0.3826367404947744,0.32778903424492123
llama3.1-8b,commonsense,tr,677.066,0.2544479434704518,0.4585741972060346
llama3.1-8b,commonsense,zh,260.868,0.011513272060702113,0.9039094206565698
llama3.1-8b,math,ar,454.502,0.1931009359921276,0.4331325667459414
llama3.1-8b,math,de,327.606,0.15606171869910043,0.41034878985963996
llama3.1-8b,math,en,330.154,0.25140188404940333,0.32795233821131753
llama3.1-8b,math,es,369.574,0.2380893795340289,0.35004829220693073
llama3.1-8b,math,fi,827.478,0.22089721004595986,0.39969628651366607
llama3.1-8b,math,fr,515.688,0.23807656873080651,0.36478155482780766
llama3.1-8b,math,hi,961.334,0.46278620032429924,0.18455542371803357
llama3.1-8b,math,ko,466.112,0.1670011823907694,0.5022367199783756
llama3.1-8b,math,sw,515.04,0.26309169432744434,0.33608352614542586
llama3.1-8b,math,tr,912.624,0.25963158933315067,0.36604921124831713
llama3.1-8b,math,zh,368.062,0.046114458958909026,0.698247961628271
llama3.3-70b,code,ar,399.974,0.13520681373679208,0.4913198455601007
llama3.3-70b,code,de,496.2,0.13433118283364806,0.4150647638440976
llama3.3-70b,code,en,223.126,0.11041490073712953,0.47412351379718887
llama3.3-70b,code,es,456.682,0.15855506113839135,0.38755803731851846
llama3.3-70b,code,fi,474.638,0.08669066055622678,0.5259586259744932
llama3.3-70b,code,fr,480.912,0.16133074047312002,0.39186618860456474
llama3.3-70b,code,hi,591.4,0.3265376681449458,0.2203046462364819
llama3.3-70b,code,ko,381.824,0.13215395098936566,0.5157240433167479
llama3.3-70b,code,sw,522.348,0.1728293479638582,0.40785713061658874
llama3.3-70b,code,tr,380.736,0.13201620100713307,0.48386547106727673
llama3.3-70b,code,zh,359.63,0.06391532623517515,0.6231488260890748
llama3.3-70b,commonsense,ar,245.816,0.09427163813492365,0.6108392783271531
llama3.3-70b,commonsense,de,371.802,0.08736012509797161,0.5208698301986228
llama3.3-70b,commonsense,en,287.894,0.08421777085826214,0.4700956362895979
llama3.3-70b,commonsense,es,321.862,0.13345379636431828,0.43974029979021656
llama3.3-70b,commonsense,fi,355.592,0.0589444616185928,0.6584571441709294
llama3.3-70b,commonsense,fr,321.504,0.11178765143991468,0.4739510370451719
llama3.3-70b,commonsense,hi,455.926,0.325413305454284,0.21846002069924653
llama3.3-70b,commonsense,ko,226.918,0.11768043923351572,0.6377422645518391
llama3.3-70b,commonsense,sw,304.572,0.13369552541781315,0.5094330901411032
llama3.3-70b,commonsense,tr,236.656,0.09439386171802741,0.6126292746295919
llama3.3-70b,commonsense,zh,218.024,0.0010695357005630903,0.956337302384556
llama3.3-70b,math,ar,222.356,0.1114734958728427,0.48212277268916415
llama3.3-70b,math,de,268.994,0.1308946917821605,0.41997564922027975
llama3.3-70b,math,en,213.378,0.1882424926850307,0.36938086813632404
llama3.3-70b,math,es,253.702,0.1857986880324702,0.3801847154220367
llama3.3-70b,math,fi,236.492,0.05730705246072969,0.5340680217714036
llama3.3-70b,math,fr,262.064,0.18225929280250858,0.3876121661642284
llama3.3-70b,math,hi,404.898,0.36141488406562183,0.21312642113957342
llama3.3-70b,math,ko,219.914,0.07744333945928437,0.6165451440407803
llama3.3-70b,math,sw,292.344,0.15725977465202606,0.3937928616153133
llama3.3-70b,math,tr,213.692,0.10646510507252231,0.46771519751089613
llama3.3-70b,math,zh,190.52,0.005551487755403873,0.8523278741936521
llama4-scout,commonsense,ar,305.838,0.057278504944169646,0.6247545435417451
llama4-scout,commonsense,de,332.938,0.061544677527380014,0.5411808089641119
llama4-scout,commonsense,en,318.908,0.08599184857120766,0.45221375253419704
llama4-scout,commonsense,es,338.838,0.10634369492702293,0.4496272763037335
llama4-scout,commonsense,fi,289.388,0.03320298704036463,0.6975670339482043
llama4-scout,commonsense,fr,347.828,0.10642345313232544,0.45841396215930785
llama4-scout,commonsense,hi,394.564,0.2623579732830848,0.24810166583548496
llama4-scout,commonsense,ko,248.006,0.05000322939635055,0.6982081442915017
llama4-scout,commonsense,sw,345.548,0.08902644216414261,0.5125880085326566
llama4-scout,commonsense,tr,262.132,0.04407878387791538,0.6578730849079809
llama4-scout,commonsense,zh,273.828,0.03165966488495703,0.7378987977462551
llama4-scout,math,ar,216.384,0.09135550563788587,0.5044535394918028
llama4-scout,math,de,202.782,0.09376122057219254,0.46425492762707343
llama4-scout,math,en,227.39,0.19103902526061395,0.35858290634304224
llama4-scout,math,es,210.014,0.13518767093813588,0.4162905295187736
llama4-scout,math,fi,188.308,0.056248923635369916,0.5386781723272244
llama4-scout,math,fr,207.058,0.12610082922931154,0.435604059746859
