model,task,language,rnorm,ci_lo,ci_hi
gpt-oss-20b,code,de,1.2325283167517853,1.1294626677708262,1.3462190931020823
gpt-oss-120b,math,hi,1.230681679808528,1.1971297040790887,1.2661593748480262
llama3.1-8b,math,ar,1.2273110874673396,1.0069370517642082,1.4990949409946734
gpt-oss-120b,math,fi,1.2182822233682007,1.1887149784508284,1.248557007861343
gpt-oss-120b,math,fr,1.218056602527865,1.1886587192040388,1.2488301000280184
llama3.3-70b,commonsense,sw,1.1981647744516861,1.1676390128367982,1.2296238685297936
llama3.3-70b,commonsense,fr,1.1788122565253294,1.1558922277266148,1.2006933601957002
llama3.3-70b,commonsense,es,1.178464548203783,1.1532080517259424,1.2030059413121663
gpt-oss-120b,math,zh,1.1585271127277224,1.1311036571079343,1.1869711943794492
llama3.3-70b,math,ar,1.1568888455406205,1.1249902827209017,1.1913771194598393
llama3.3-70b,math,ko,1.1446363517105864,1.1127064012977903,1.1754659731738697
gpt-oss-20b,code,ar,1.14310720133159,1.0517396744876286,1.2444959306104169
llama3.3-70b,math,tr,1.1208244797368918,1.0832054191355933,1.1583853805716875
llama3.1-8b,commonsense,zh,1.1067578409543233,1.0068169792538475,1.2192996536513496
llama4-scout,math,hi,1.0953325393694426,1.0586569102884353,1.1346002630986392
llama4-scout,math,sw,1.083139028351895,1.0386166361006295,1.1318646612123893
gpt-oss-20b,code,es,1.0603666702601098,0.9883232831804447,1.1354689691972397
llama3.3-70b,math,zh,1.0574089302799847,1.0255106759294745,1.0904540148325104
gpt-oss-20b,code,tr,1.0478131667332815,0.9663617970434536,1.1358704574058252
gpt-oss-20b,code,fr,1.0352764000679244,0.9599509927202567,1.1129849587939529
gpt-oss-20b,code,fi,1.0321057126087445,0.948095532530345,1.116791105511654
llama4-scout,math,fi,1.0203126023568503,0.9720830449291514,1.0735805335377913
llama4-scout,commonsense,hi,0.9965078314675924,0.9480572744905228,1.0488932002157982
llama3.3-70b,commonsense,ar,0.9899682659458762,0.968243708616056,1.010329050652442
llama4-scout,math,ar,0.9706569402739554,0.9362265275477305,1.0050369081228117
llama4-scout,math,fr,0.9626698800554847,0.9272399588811685,1.0036114878324582
llama3.1-8b,math,de,0.9587595688709986,0.7994768013635262,1.1574448330194695
llama3.3-70b,commonsense,tr,0.9504311041977419,0.9286648715558875,0.9721623646680044
llama3.3-70b,commonsense,ko,0.9396438609696313,0.9189522223046448,0.9630472755623093
llama3.3-70b,commonsense,zh,0.9090372664521879,0.8896820794207733,0.9297270153026634
llama4-scout,commonsense,sw,0.8925056147329407,0.8470048384036452,0.9388401624202054
llama4-scout,commonsense,fr,0.8801902392784301,0.8389708814309353,0.9250165618821746
llama4-scout,commonsense,es,0.8528887649289698,0.8129305605795571,0.8969443188174617
llama4-scout,commonsense,de,0.8437083185253091,0.8022467109439696,0.8878184098789826
llama4-scout,math,ko,0.8389394650604451,0.8079811332429072,0.8725418371079825
llama4-scout,math,tr,0.8029779118098312,0.7740261517050883,0.8345843075567646
llama4-scout,commonsense,ar,0.7999640581430496,0.760337437052644,0.8411190115515798
llama4-scout,math,zh,0.7954716385114111,0.7668718044568718,0.8265840257013465
llama4-scout,commonsense,fi,0.7701281455774369,0.7291081379004415,0.8123452643181827
llama4-scout,commonsense,zh,0.7100064328387834,0.6755851710414071,0.7484577819988598
llama4-scout,commonsense,tr,0.6925986404528454,0.6552676371521776,0.7311146446320462
llama4-scout,commonsense,ko,0.6684089843578048,0.6338004386177202,0.7034635945061043
llama4-scout,code,fi,0.6508048694896219,0.5212754025957488,0.8159082054955837
llama4-scout,code,hi,0.6345078633229688,0.5169492873647025,0.7937521434518754
llama4-scout,code,zh,0.5638781852876721,0.44870986405909635,0.7223440123076815
llama4-scout,code,ar,0.5449092668807003,0.4480831908252914,0.6670075765874286
llama4-scout,code,sw,0.48062202847402063,0.39921880911139235,0.5934826159709152
llama4-scout,code,ko,0.46324006574359133,0.37235641708567097,0.5790251104393352
llama4-scout,code,es,0.4314915677671333,0.3604733896694879,0.5252503445750092
llama4-scout,code,de,0.42253819995727115,0.3512915637369255,0.5118019569306612
llama4-scout,code,fr,0.41109395314628855,0.3442484644291219,0.49959856079231446
llama4-scout,code,tr,0.39615003458520553,0.32692948018491413,0.4832012429446179
